name                                                                                                                             Code_Page                                                                                                                                                                                                                                                        description
-------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Albanian_BIN                                                                                                                     1250                                                                                                                                                                                                                                                             Albanian, binary sort
Albanian_BIN2                                                                                                                    1250                                                                                                                                                                                                                                                             Albanian, binary code point comparison sort
Albanian_CI_AI                                                                                                                   1250                                                                                                                                                                                                                                                             Albanian, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Albanian_CI_AI_WS                                                                                                                1250                                                                                                                                                                                                                                                             Albanian, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Albanian_CI_AI_KS                                                                                                                1250                                                                                                                                                                                                                                                             Albanian, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Albanian_CI_AI_KS_WS                                                                                                             1250                                                                                                                                                                                                                                                             Albanian, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Albanian_CI_AS                                                                                                                   1250                                                                                                                                                                                                                                                             Albanian, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Albanian_CI_AS_WS                                                                                                                1250                                                                                                                                                                                                                                                             Albanian, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Albanian_CI_AS_KS                                                                                                                1250                                                                                                                                                                                                                                                             Albanian, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Albanian_CI_AS_KS_WS                                                                                                             1250                                                                                                                                                                                                                                                             Albanian, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Albanian_CS_AI                                                                                                                   1250                                                                                                                                                                                                                                                             Albanian, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Albanian_CS_AI_WS                                                                                                                1250                                                                                                                                                                                                                                                             Albanian, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Albanian_CS_AI_KS                                                                                                                1250                                                                                                                                                                                                                                                             Albanian, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Albanian_CS_AI_KS_WS                                                                                                             1250                                                                                                                                                                                                                                                             Albanian, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Albanian_CS_AS                                                                                                                   1250                                                                                                                                                                                                                                                             Albanian, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Albanian_CS_AS_WS                                                                                                                1250                                                                                                                                                                                                                                                             Albanian, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Albanian_CS_AS_KS                                                                                                                1250                                                                                                                                                                                                                                                             Albanian, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Albanian_CS_AS_KS_WS                                                                                                             1250                                                                                                                                                                                                                                                             Albanian, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Albanian_100_BIN                                                                                                                 1250                                                                                                                                                                                                                                                             Albanian-100, binary sort
Albanian_100_BIN2                                                                                                                1250                                                                                                                                                                                                                                                             Albanian-100, binary code point comparison sort
Albanian_100_CI_AI                                                                                                               1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Albanian_100_CI_AI_WS                                                                                                            1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Albanian_100_CI_AI_KS                                                                                                            1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Albanian_100_CI_AI_KS_WS                                                                                                         1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Albanian_100_CI_AS                                                                                                               1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Albanian_100_CI_AS_WS                                                                                                            1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Albanian_100_CI_AS_KS                                                                                                            1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Albanian_100_CI_AS_KS_WS                                                                                                         1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Albanian_100_CS_AI                                                                                                               1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Albanian_100_CS_AI_WS                                                                                                            1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Albanian_100_CS_AI_KS                                                                                                            1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Albanian_100_CS_AI_KS_WS                                                                                                         1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Albanian_100_CS_AS                                                                                                               1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Albanian_100_CS_AS_WS                                                                                                            1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Albanian_100_CS_AS_KS                                                                                                            1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Albanian_100_CS_AS_KS_WS                                                                                                         1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Albanian_100_CI_AI_SC                                                                                                            1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Albanian_100_CI_AI_WS_SC                                                                                                         1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Albanian_100_CI_AI_KS_SC                                                                                                         1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Albanian_100_CI_AI_KS_WS_SC                                                                                                      1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Albanian_100_CI_AS_SC                                                                                                            1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Albanian_100_CI_AS_WS_SC                                                                                                         1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Albanian_100_CI_AS_KS_SC                                                                                                         1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Albanian_100_CI_AS_KS_WS_SC                                                                                                      1250                                                                                                                                                                                                                                                             Albanian-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Albanian_100_CS_AI_SC                                                                                                            1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Albanian_100_CS_AI_WS_SC                                                                                                         1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Albanian_100_CS_AI_KS_SC                                                                                                         1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Albanian_100_CS_AI_KS_WS_SC                                                                                                      1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Albanian_100_CS_AS_SC                                                                                                            1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Albanian_100_CS_AS_WS_SC                                                                                                         1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Albanian_100_CS_AS_KS_SC                                                                                                         1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Albanian_100_CS_AS_KS_WS_SC                                                                                                      1250                                                                                                                                                                                                                                                             Albanian-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Arabic_BIN                                                                                                                       1256                                                                                                                                                                                                                                                             Arabic, binary sort
Arabic_BIN2                                                                                                                      1256                                                                                                                                                                                                                                                             Arabic, binary code point comparison sort
Arabic_CI_AI                                                                                                                     1256                                                                                                                                                                                                                                                             Arabic, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Arabic_CI_AI_WS                                                                                                                  1256                                                                                                                                                                                                                                                             Arabic, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Arabic_CI_AI_KS                                                                                                                  1256                                                                                                                                                                                                                                                             Arabic, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Arabic_CI_AI_KS_WS                                                                                                               1256                                                                                                                                                                                                                                                             Arabic, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Arabic_CI_AS                                                                                                                     1256                                                                                                                                                                                                                                                             Arabic, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Arabic_CI_AS_WS                                                                                                                  1256                                                                                                                                                                                                                                                             Arabic, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Arabic_CI_AS_KS                                                                                                                  1256                                                                                                                                                                                                                                                             Arabic, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Arabic_CI_AS_KS_WS                                                                                                               1256                                                                                                                                                                                                                                                             Arabic, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Arabic_CS_AI                                                                                                                     1256                                                                                                                                                                                                                                                             Arabic, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Arabic_CS_AI_WS                                                                                                                  1256                                                                                                                                                                                                                                                             Arabic, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Arabic_CS_AI_KS                                                                                                                  1256                                                                                                                                                                                                                                                             Arabic, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Arabic_CS_AI_KS_WS                                                                                                               1256                                                                                                                                                                                                                                                             Arabic, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Arabic_CS_AS                                                                                                                     1256                                                                                                                                                                                                                                                             Arabic, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Arabic_CS_AS_WS                                                                                                                  1256                                                                                                                                                                                                                                                             Arabic, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Arabic_CS_AS_KS                                                                                                                  1256                                                                                                                                                                                                                                                             Arabic, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Arabic_CS_AS_KS_WS                                                                                                               1256                                                                                                                                                                                                                                                             Arabic, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Arabic_100_BIN                                                                                                                   1256                                                                                                                                                                                                                                                             Arabic-100, binary sort
Arabic_100_BIN2                                                                                                                  1256                                                                                                                                                                                                                                                             Arabic-100, binary code point comparison sort
Arabic_100_CI_AI                                                                                                                 1256                                                                                                                                                                                                                                                             Arabic-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Arabic_100_CI_AI_WS                                                                                                              1256                                                                                                                                                                                                                                                             Arabic-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Arabic_100_CI_AI_KS                                                                                                              1256                                                                                                                                                                                                                                                             Arabic-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Arabic_100_CI_AI_KS_WS                                                                                                           1256                                                                                                                                                                                                                                                             Arabic-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Arabic_100_CI_AS                                                                                                                 1256                                                                                                                                                                                                                                                             Arabic-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Arabic_100_CI_AS_WS                                                                                                              1256                                                                                                                                                                                                                                                             Arabic-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Arabic_100_CI_AS_KS                                                                                                              1256                                                                                                                                                                                                                                                             Arabic-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Arabic_100_CI_AS_KS_WS                                                                                                           1256                                                                                                                                                                                                                                                             Arabic-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Arabic_100_CS_AI                                                                                                                 1256                                                                                                                                                                                                                                                             Arabic-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Arabic_100_CS_AI_WS                                                                                                              1256                                                                                                                                                                                                                                                             Arabic-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Arabic_100_CS_AI_KS                                                                                                              1256                                                                                                                                                                                                                                                             Arabic-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Arabic_100_CS_AI_KS_WS                                                                                                           1256                                                                                                                                                                                                                                                             Arabic-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Arabic_100_CS_AS                                                                                                                 1256                                                                                                                                                                                                                                                             Arabic-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Arabic_100_CS_AS_WS                                                                                                              1256                                                                                                                                                                                                                                                             Arabic-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Arabic_100_CS_AS_KS                                                                                                              1256                                                                                                                                                                                                                                                             Arabic-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Arabic_100_CS_AS_KS_WS                                                                                                           1256                                                                                                                                                                                                                                                             Arabic-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Arabic_100_CI_AI_SC                                                                                                              1256                                                                                                                                                                                                                                                             Arabic-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Arabic_100_CI_AI_WS_SC                                                                                                           1256                                                                                                                                                                                                                                                             Arabic-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Arabic_100_CI_AI_KS_SC                                                                                                           1256                                                                                                                                                                                                                                                             Arabic-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Arabic_100_CI_AI_KS_WS_SC                                                                                                        1256                                                                                                                                                                                                                                                             Arabic-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Arabic_100_CI_AS_SC                                                                                                              1256                                                                                                                                                                                                                                                             Arabic-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
